Fecha,TRM_fin_mes,TRM_promedio
1991-11-30,69470,68759
1991-12-31,63237,63038
1992-01-31,64427,64518
1992-02-29,63654,63553
1992-03-31,64159,64033
1992-04-30,65383,64916
1992-05-31,66437,65981
1992-06-30,69757,67579
1992-07-31,70514,70450
1992-08-31,69168,69372
1992-09-30,70281,69711
1992-10-31,71688,70765
1992-11-30,72545,72243
1992-12-31,73798,73342
1993-01-31,74605,74552
1993-02-27,75803,74908
1993-03-30,76641,76438
1993-04-30,77494,77179
1993-05-31,77956,77971
1993-06-30,78712,78424
1993-07-31,80135,79508
1993-08-31,80686,80461
1993-09-30,81084,80966
1993-10-31,81703,81445
1993-11-30,81173,81408
1993-12-31,80433,80356
1994-01-31,81838,81615
1994-02-28,81970,81767
1994-03-31,81951,81976
1994-04-30,83686,82987
1994-05-31,84112,84143
1994-06-30,81964,83094
1994-07-31,81562,81906
1994-08-31,81630,81482
1994-09-30,84200,83006
1994-10-31,83855,83932
1994-11-30,82903,83003
1994-12-31,83127,82937
1995-01-31,85641,84663
1995-02-28,85699,85090
1995-03-31,88023,86583
1995-04-30,87790,87339
1995-05-31,87636,87695
1995-06-30,88123,87486
1995-07-31,89763,89322
1995-08-31,96019,93510
1995-09-30,96678,96417
1995-10-31,99450,98496
1995-11-30,99816,1.00058
1995-12-31,98765,98815
1996-01-31,1.02814,1.0111899999999998
1996-02-29,1.03981,1.0296399999999999
1996-03-31,1.046,1.04498
1996-04-30,1.0589,1.05093
1996-05-31,1.07306,1.06624
1996-06-30,1.06911,1.0719599999999998
1996-07-31,1.05674,1.0641
1996-08-31,1.04232,1.04484
1996-09-30,1.0250599999999999,1.04084
1996-10-31,1.0058299999999998,1.01578
1996-11-30,1.00228,99818
1996-12-31,1.0053299999999998,1.0007899999999998
1997-01-31,1.07097,1.0270599999999999
1997-02-28,1.08051,1.07424
1997-03-31,1.05988,1.06216
1997-04-30,1.06311,1.06065
1997-05-31,1.0770899999999999,1.07518
1997-06-30,1.08901,1.08237
1997-07-31,1.10965,1.1024
1997-08-31,1.1722800000000002,1.1327
1997-09-30,1.24627,1.2224899999999999
1997-10-31,1.2812,1.2628899999999998
1997-11-30,1.3056599999999998,1.29456
1997-12-31,1.29358,1.2967
1998-01-31,1.342,1.32316
1998-02-28,1.34385,1.34612
1998-03-31,1.35803,1.3571
1998-04-30,1.3657199999999998,1.3606500000000001
1998-05-31,1.39707,1.3862800000000002
1998-06-30,1.36304,1.3866100000000001
1998-07-31,1.3706500000000001,1.37154
1998-08-31,1.4408699999999999,1.39046
1998-09-30,1.5561500000000001,1.5205199999999999
1998-10-31,1.57508,1.58738
1998-11-30,1.54711,1.56271
1998-12-31,1.54211,1.52456
1999-01-31,1.5829,1.5700100000000001
1999-02-28,1.5683,1.56707
1999-03-31,1.53351,1.5501500000000001
1999-04-30,1.60444,1.57467
1999-05-31,1.67167,1.64133
1999-06-30,1.7321,1.6939899999999999
1999-07-31,1.8094999999999999,1.81863
1999-08-31,1.9547199999999998,1.87693
1999-09-30,2.01727,1.9756399999999998
1999-10-31,1.9715899999999997,1.97871
1999-11-30,1.9237699999999998,1.94464
1999-12-31,1.87377,1.88846
2000-01-31,1.9767199999999998,1.9235699999999998
2000-02-29,1.94617,1.95064
2000-03-31,1.9515599999999997,1.95625
2000-04-30,2.00447,1.98677
2000-05-31,2.0849200000000003,2.05569
2000-06-30,2.13911,2.1201700000000003
2000-07-31,2.17279,2.16134
2000-08-31,2.2082100000000002,2.1873800000000005
2000-09-30,2.2122599999999997,2.21376
2000-10-31,2.15836,2.1766099999999997
2000-11-30,2.1728399999999994,2.13663
2000-12-31,2.2291800000000004,2.18621
2001-01-31,2.2408,2.2414
2001-02-28,2.25745,2.2434200000000004
2001-03-31,2.31057,2.2787800000000002
2001-04-30,2.34673,2.3231
2001-05-31,2.32498,2.34693
2001-06-30,2.29885,2.3056599999999996
2001-07-31,2.29827,2.30428
2001-08-31,2.30123,2.2889000000000004
2001-09-30,2.3321899999999998,2.32823
2001-10-31,2.3100199999999997,2.3206499999999997
2001-11-30,2.30859,2.3104699999999996
2001-12-31,2.29118,2.3068999999999997
2002-01-31,2.2648200000000003,2.27496
2002-02-28,2.3098199999999998,2.2867
2002-03-31,2.2612300000000003,2.2823300000000004
2002-04-30,2.27535,2.2631100000000006
2002-05-31,2.32116,2.3102399999999994
2002-06-30,2.3988199999999997,2.3642499999999997
2002-07-31,2.62506,2.50672
2002-08-31,2.7035500000000003,2.6472200000000004
2002-09-30,2.82808,2.75123
2002-10-31,2.7737300000000005,2.82786
2002-11-30,2.7842100000000003,2.72666
2002-12-31,2.86479,2.8148899999999997
2003-01-31,2.9264599999999996,2.913
2003-02-28,2.9563099999999998,2.9518599999999995
2003-03-31,2.9582499999999996,2.9590099999999997
2003-04-30,2.88782,2.9266199999999998
2003-05-31,2.85333,2.8589399999999996
2003-06-30,2.81732,2.8269499999999996
2003-07-31,2.8804,2.8588199999999997
